loc3,count,depth,notes
dryTortugas-west,20,15.2,
flowerGardenBanks-east,19,20.7,
keys-lki,20,4.8,average of 2 sites
keys-lko,30,5.5,average of 2 sites
keys-mki,40,4.7,average of 2 sites
keys-mko,40,6.1,average of 2 sites
keys-uki,46,4.5,average of 2 sites
keys-uko,40,12.5,average of 2 sites
puertoRico-east,5,14.3,Culebra
puertoRico-north,5,16,Arecibo
puertoRico-northeast,5,16.1,fajardo
puertoRico-south,5,13,Jobos bay
puertoRico-southwest,10,5,la parguera
puertoRico-west,5,15,rincon
saintCroix-east,15,16.4,
saintCroix-north,20,16.5,
saintCroix-south,15,14.6,
saintCroix-west,15,17,
saintJohn-east,5,17.4,
saintJohn-north,5,15.5,
saintJohn-south,5,16.7,
saintJohn-west,5,15.2,
saintThomas-north,5,15.5,
saintThomas-south,10,16.1,
saintThomas-west,5,16.7,
