siteName,depth
OCC-FFS-002,17.7
OCC-FFS-004,16.8
OCC-FFS-007,18
OCC-FFS-010,14.3
OCC-FFS-014,12.5
OCC-GUA-002,15.5
OCC-GUA-005,16.5
OCC-GUA-009,13.7
OCC-GUA-015,14.3
OCC-HAW-002,14
OCC-HAW-006,11.9
OCC-HAW-008,14.9
OCC-HAW-010,14.3
OCC-HAW-014,13.7
OCC-JAR-003,15.5
OCC-JAR-008,14.6
OCC-JAR-013,14.9
OCC-MAU-002,13.7
OCC-MAU-005,14.9
OCC-MAU-008,16.2
OCC-MAU-016,9.1
OCC-MAU-018,8.5
OCC-MAU-019,10.4
OCC-OAH-002,14
OCC-OAH-005,12.5
OCC-OAH-007,2.1
OCC-OAH-008,14.6
OCC-OAH-010,12.2
OCC-OAH-012,14.6
OCC-OAH-014,15.2
OCC-OFU-002,14.6
OCC-OFU-009,14.6
OCC-PAG-002,14.6
OCC-PAG-006,15.5
OCC-PAG-009,15.5
OCC-PAG-013,17.4
OCC-PAL-003,14.6
OCC-PAL-008,13.4
OCC-PAL-017,14.9
OCC-PHR-002,15.8
OCC-PHR-007,14.3
OCC-PHR-012,13.7
OCC-PHR-016,13.7
OCC-SAI-002,13.4
OCC-SAI-005,16.5
OCC-SAI-009,17.4
OCC-SAI-012,12.5
OCC-SAI-016,14
OCC-TAU-002,14.9
OCC-TAU-011,14.3
OCC-TUT-002,14.6
OCC-TUT-007,15.8
OCC-TUT-017,14.3
OCC-TUT-022,13.7
OCC-WAK-002,13.4
OCC-WAK-005,14
OCC-WAK-008,15.2
OCC-WAK-013,13.4
